Sl. No.,State/UT,Elementary - Teachers (Including Head Teachers) - 2020-21 - Sanctioned,Elementary - Teachers (Including Head Teachers) - 2020-21 - Working,Elementary - Teachers (Including Head Teachers) - 2020-21 - Vacant,Secondary - Subject Teachers - 2020-21 - Sanctioned,Secondary - Subject Teachers - 2020-21 - Working,Secondary - Subject Teachers - 2020-21 - Vacant,Secondary - Headmasters - 2020-21 - Sanctioned,Secondary - Headmasters - 2020-21 - In- position,Secondary - Headmasters - 2020-21 - Vacant,Higher Secondary - Subject Teachers - 2020-21 - Sanctioned Post,Higher Secondary - Subject Teachers - 2020-21 - Working,Higher Secondary - Subject Teachers - 2020-21 - Vacant,Higher Secondary - Headmasters/Principals - 2020-21 - Sanctioned Post,Higher Secondary - Headmasters/Principals - 2020-21 - Working,Higher Secondary - Headmasters/Principals - 2020-21 - Vacant,Grand Total - 2020-21 - Sanctioned,Grand Total - 2020-21 - Working,Grand Total - 2020-21 - Vacant
1,Andaman & Nicobar Islands,3169,2599,570,500,400,100,68,48,20,626,523,103,35,3,32,4398,3573,825
2,Andhra Pradesh,156895,134286,22609,88266,75987,12279,5329,5040,289,1391,1391,0,481,300,181,252362,217004,35358
3,Arunachal Pradesh,14062,13570,492,2502,2438,64,324,324,0,934,934,0,934,934,0,18756,18200,556
4,Assam,182198,168981,13217,46596,46566,30,3478,3478,0,25468,25468,0,895,895,0,258635,245388,13247
5,Bihar,592541,369053,223488,51795,32382,19413,4090,257,3833,43821,11467,32354,0,0,0,692247,413159,279088
6,Chandigarh,4274,3653,621,982,853,129,45,43,2,541,419,122,37,37,0,5879,5005,874
7,Chhattisgarh,200429,150595,49834,28449,19342,9107,4618,1731,2887,21507,16794,4713,0,0,0,255003,188462,66541
8,Dadra and Nagar Haveli & Daman and Diu,2405,2057,348,580,481,99,29,11,18,254,213,41,10,1,9,3278,2763,515
9,Delhi,51535,47247,4288,13734,12335,1399,1040,1040,0,16489,14635,1854,943,943,0,83741,76200,7541
10,Goa,2216,1827,389,611,431,180,72,69,3,26,26,0,7,7,0,2932,2360,572
11,Gujarat,217106,213067,4039,2967,1728,1239,678,115,563,1508,956,552,0,0,0,222259,215866,6393
12,Haryana,64947,61988,2959,14642,14006,636,1142,275,867,26674,19920,6754,2190,1456,734,109595,97645,11950
13,Himachal Pradesh,45997,42323,3674,10487,10228,259,2776,2036,740,14585,13132,1453,1842,1449,393,75687,69168,6519
14,Jammu & Kashmir,100647,84669,15978,21352,17902,3450,2519,2493,26,"9,320","6,942",2378,777,541,236,134615,112547,22068
15,Jharkhand,186865,111338,75527,25169,11553,13616,1620,61,1559,26674,19920,6754,2190,1456,734,242518,144328,98190
16,Karnataka,189111,160040,29071,39776,36203,3573,4212,2777,1435,0,0,0,0,0,0,233099,199020,34079
17,Kerala,31506,30135,1371,19410,18855,555,1338,1338,0,15846,15846,0,951,951,0,69051,67125,1926
18,Ladakh,4665,4632,33,1024,955,69,82,74,8,446,360,86,36,11,25,6253,6032,221
19,Lakshadweep,440,409,31,251,216,35,0,0,0,130,113,17,0,0,0,821,738,83
20,Madhya Pradesh,363099,288744,74355,59688,48816,10872,9244,3113,6131,46857,40112,6745,4244,2213,2031,483132,382998,100134
21,Maharashtra,323883,323883,0,9402,8012,1390,1800,651,1149,3451,1949,1502,368,50,318,338904,334545,4359
22,Manipur,14913,14567,346,4698,2484,2214,410,164,246,0,0,0,0,0,0,20021,17215,2806
23,Meghalaya,19437,19437,0,704,704,0,91,91,0,189,188,1,21,21,0,20442,20441,1
24,Mizoram,8919,8919,0,1901,1901,0,291,291,0,487,487,0,21,19,2,11619,11617,2
25,Nagaland,16872,16872,0,2100,1871,229,247,167,80,590,590,0,44,44,0,19853,19544,309
26,Odisha,229006,229006,0,32820,27232,5588,5470,1769,3701,6660,1371,5289,555,62,493,274511,259440,15071
27,Puducherry,3705,2922,783,955,657,298,82,16,66,655,480,175,91,60,31,5488,4135,1353
28,Punjab,92084,91955,129,29187,28302,885,3362,3042,320,10626,8623,2003,1946,1854,92,137205,133776,3429
29,Rajasthan,283416,254237,29179,73123,63141,9982,3443,2973,470,52033,43528,8505,10849,9071,1778,422864,372950,49914
30,Sikkim,8573,3239,5334,550,550,0,34,34,0,150,150,0,19,19,0,9326,3992,5334
31,Tamil Nadu,147913,145551,2362,45039,44643,396,3117,3054,63,27762,27222,540,3056,2998,58,226887,223468,3419
32,Telangana,106977,95460,11517,25455,20830,4625,4843,3112,1731,8470,6712,1758,878,485,393,146623,126599,20024
33,Tripura,26542,25870,672,5714,5243,471,536,291,245,5201,4971,230,327,227,100,38320,36602,1718
34,Uttar Pradesh,719399,524401,194998,21409,6983,14426,2235,979,1256,12031,3974,8057,779,130,649,755853,536467,219386
35,Uttarakhand,46053,35970,10083,18798,14167,4631,946,519,427,11725,7819,3906,1408,373,1035,78930,58848,20082
36,West Bengal,539217,479922,59295,65650,56234,9416,2555,2045,510,32547,29038,3509,6273,3404,2869,646242,570643,75599
Total,Total,5001016,4163424,837592,766286,634631,131655,72166,43521,28645,425674,326273,99401,42207,30014,12193,6307349,5197863,1109486
