Coal Company,Coal Production/Dispatch,Target,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Cumulative
ECL,PRODUCTION,52,2.94,2.83,2.15,2.16,2.12,2.11,1.83,2.21,2.9,3.53,3.54,4.12,32.44
BCCL,PRODUCTION,30,1.96,2.1,1.76,2.19,2.23,2.12,2.31,2.55,2.85,3.26,3.24,3.92,30.49
CCL,PRODUCTION,74,4.84,4.21,3.82,4.13,4.28,4.08,5.27,5.74,6.41,7.08,7.78,11.22,68.86
NCL,PRODUCTION,119,8.56,9.24,7.96,9.01,9.11,9.56,10.85,10.83,11.24,12.08,11.51,12.49,122.44
WCL,PRODUCTION,60,3.64,3.61,3.14,2.72,2.81,2.53,4.56,5.36,5.81,6.37,6.87,10.26,57.68
SECL,PRODUCTION,172,9.31,9.21,9.329,9.97,9.43,8.02,10.34,12.24,14.16,14.83,15.18,20.66,142.679
MCL,PRODUCTION,163,10.64,10.88,11.851,12.4,12.62,12.23,14.65,14.87,16.85,17.34,16.14,17.57,168.041
NEC,PRODUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02
CIL,PRODUCTION,670,41.89,42.08,40.01,42.58,42.6,40.65,49.81,53.8,60.22,64.49,64.26,80.26,622.65
SCCL,PRODUCTION,68,4.857,5.44,5.272,4.867,4.964,4.545,5.308,5.612,5.651,6.025,6.032,6.448,65.021
CAPTIVE & OTHERS,PRODUCTION,110,4.86963,5.732,5.702,6.791,6.311,6.523,8.812,8.531,8.916,9.12,9.245,9.101,89.65363
ALL INDIA TOTAL,PRODUCTION,848,51.61663,53.252,50.984,54.238,53.875,51.718,63.93,67.943,74.787,79.635,79.537,95.809,777.32463
ECL,DISPATCH,56.5,4.13,3.82,3.14,2.61,2.41,2.57,2.31,2.64,2.82,2.99,2.93,3.67,36.04
BCCL,DISPATCH,32,2.52,2.7,2.5,2.71,2.76,2.53,2.35,2.44,2.73,2.96,2.94,3.39,32.53
CCL,DISPATCH,80,6.57,6.49,5.6,4.83,5,5.04,5.83,5.68,6.16,6.55,6.76,7.23,71.74
NCL,DISPATCH,126.5,9.44,9.7,9.3,10,9.22,9.93,11.38,11.53,11.73,11.47,10.71,11.31,125.72
WCL,DISPATCH,67,5.65,5.79,4.8,4.05,4.33,4.04,5.56,5.68,6.08,5.87,6.06,6.29,64.2
SECL,DISPATCH,196,12.94,13.2,12.63,12.57,10.82,10.5,12.82,13.45,14.44,14.52,13.54,14.34,155.77
MCL,DISPATCH,182,12.85,13.29,13.19,13.73,14.09,13.69,16.45,15.43,16.64,16.49,14.53,15.76,176.14
NEC,DISPATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIL,DISPATCH,740,54.1,54.99,51.16,50.5,48.63,48.3,56.7,56.85,60.6,60.85,57.47,61.99,662.14
SCCL,DISPATCH,68,5.444,5.794,5.459,5.027,4.984,4.585,5.419,5.763,5.7,5.998,5.414,5.949,65.536
CAPTIVE & OTHERS,DISPATCH,110,5.94,6.263,5.871,7.038,6.553,7.05,8.291,8.713,8.692,8.703,8.413,9.103,90.63
ALL INDIA TOTAL,DISPATCH,918,65.484,67.047,62.49,62.565,60.167,59.935,70.41,71.326,74.992,75.551,71.297,77.042,818.306
